,antecedents,consequents,confidence,lift,conviction,antecedent_len,consequent_len
10265,"({'has_author_F', 'has_comments_T', 'non_exec_prop_low', 'exec_skips_lower'})",({'exec_inorder_higher'}),0.9819364161849711,1.031934096091637,2.6822173723264937,4,1
15720,"({'has_author_F', 'num_commits_lower', 'exec_skips_lower', 'non_exec_prop_low', 'has_comments_T'})",({'exec_inorder_higher'}),0.9819227608874281,1.031919745501421,2.6801912622515056,5,1
12707,"({'has_comments_T', 'has_error_F', 'exec_skips_lower', 'num_commits_lower'})",({'exec_inorder_higher'}),0.9818897637795275,1.0318850682655494,2.6753079156624193,4,1
9351,"({'has_author_F', 'has_comments_T', 'markdown_prop_med', 'exec_skips_lower'})",({'exec_inorder_higher'}),0.9817251461988304,1.0317120687805141,2.651209079004809,4,1
12666,"({'non_exec_prop_low', 'has_comments_T', 'exec_skips_lower', 'num_commits_lower'})",({'exec_inorder_higher'}),0.9816878980891719,1.0316729240927949,2.64581633234015,4,1
5327,"({'has_comments_T', 'markdown_prop_med', 'exec_skips_lower'})",({'exec_inorder_higher'}),0.981677237491191,1.0316617206845498,2.644276936507403,3,1
15227,"({'has_author_F', 'num_commits_lower', 'exec_skips_lower', 'num_contrib_lower', 'has_comments_T'})",({'exec_inorder_higher'}),0.9815770081061165,1.0315563878766574,2.629890877346146,5,1
5577,"({'has_comments_T', 'exec_skips_lower', 'num_contrib_lower'})",({'exec_inorder_higher'}),0.9815756035578146,1.031554911812364,2.6296903926910575,3,1
8671,"({'has_author_F', 'has_comments_T', 'jupyter_prop_high', 'exec_skips_lower'})",({'exec_inorder_higher'}),0.9815384615384615,1.031515878616796,2.6243998254037466,4,1
4963,"({'has_comments_T', 'jupyter_prop_high', 'exec_skips_lower'})",({'exec_inorder_higher'}),0.9814814814814815,1.0314559972816855,2.616324749017903,3,1
12388,"({'num_commits_lower', 'has_comments_T', 'exec_skips_lower', 'num_contrib_lower'})",({'exec_inorder_higher'}),0.9814814814814814,1.0314559972816852,2.616324749017887,4,1
16066,"({'num_commits_lower', 'num_contrib_lower', 'exec_skips_lower', 'markdown_prop_med', 'has_comments_T'})",({'exec_inorder_higher'}),0.9814658803706824,1.0314396018024006,2.6141224554581184,5,1
15021,"({'has_author_F', 'has_error_F', 'markdown_prop_med', 'exec_skips_lower', 'has_comments_T'})",({'exec_inorder_higher'}),0.981434599156118,1.031406727828746,2.609717868338536,5,1
9792,"({'has_author_F', 'has_comments_T', 'exec_skips_lower', 'num_contrib_lower'})",({'exec_inorder_higher'}),0.9813953488372092,1.031365478984425,2.6042121344391043,4,1
16480,"({'has_author_F', 'has_error_F', 'num_commits_lower', 'exec_skips_lower', 'num_contrib_lower', 'has_comments_T'})",({'exec_inorder_higher'}),0.9813242784380306,1.0312907898630863,2.5943018134201115,6,1
12226,"({'has_comments_T', 'has_error_F', 'markdown_prop_med', 'exec_skips_lower'})",({'exec_inorder_higher'}),0.98130081300813,1.0312661296337733,2.591046249027375,4,1
14954,"({'has_author_F', 'non_exec_prop_low', 'markdown_prop_med', 'exec_skips_lower', 'has_comments_T'})",({'exec_inorder_higher'}),0.9812925170068028,1.0312574112213693,2.589897226300551,5,1
16335,"({'has_author_F', 'num_commits_lower', 'non_exec_prop_low', 'num_contrib_lower', 'exec_skips_lower', 'has_comments_T'})",({'exec_inorder_higher'}),0.981260647359455,1.0312239188534456,2.585492639181001,6,1
11707,"({'has_comments_T', 'jupyter_prop_high', 'has_error_F', 'exec_skips_lower'})",({'exec_inorder_higher'}),0.981196581196581,1.0311565906061317,2.5766834649418486,4,1
16219,"({'has_error_F', 'num_commits_lower', 'exec_skips_lower', 'num_contrib_lower', 'has_comments_T'})",({'exec_inorder_higher'}),0.9811783960720131,1.031137479541735,2.574193915700377,5,1
14364,"({'has_author_F', 'num_commits_lower', 'jupyter_prop_high', 'exec_skips_lower', 'has_comments_T'})",({'exec_inorder_higher'}),0.9811643835616439,1.0311227535503331,2.5722788778223236,5,1
12188,"({'non_exec_prop_low', 'has_comments_T', 'markdown_prop_med', 'exec_skips_lower'})",({'exec_inorder_higher'}),0.9811320754716981,1.0310888004154406,2.567874290702753,4,1
14567,"({'has_author_F', 'num_contrib_lower', 'exec_skips_lower', 'markdown_prop_med', 'has_comments_T'})",({'exec_inorder_higher'}),0.9811172305271441,1.0310731996044435,2.565855521606298,5,1
11914,"({'has_comments_T', 'exec_skips_lower', 'markdown_prop_med', 'num_contrib_lower'})",({'exec_inorder_higher'}),0.9810749432248297,1.0310287591413234,2.5601222173723306,4,1
16137,"({'num_commits_lower', 'num_contrib_lower', 'exec_skips_lower', 'non_exec_prop_low', 'has_comments_T'})",({'exec_inorder_higher'}),0.9810387469084915,1.0309907198015387,2.5552350407075135,5,1
12522,"({'has_comments_T', 'has_error_F', 'exec_skips_lower', 'num_contrib_lower'})",({'exec_inorder_higher'}),0.9809802487198244,1.0309292430353751,2.5473760198771047,4,1
3567,"({'exec_inorder_higher', 'has_links_F', 'num_commits_lower'})",({'has_author_F'}),0.9809444904722452,1.0290035840988616,2.450970717173052,3,1
11151,"({'has_comments_T', 'jupyter_prop_high', 'markdown_prop_med', 'num_commits_lower'})",({'num_contrib_lower'}),0.9809286898839137,1.0501437516467507,3.4559808703243196,4,1
12458,"({'non_exec_prop_low', 'has_comments_T', 'exec_skips_lower', 'num_contrib_lower'})",({'exec_inorder_higher'}),0.9809104258443465,1.0308558649584394,2.538058624047273,4,1
15359,"({'has_author_F', 'num_contrib_lower', 'exec_skips_lower', 'non_exec_prop_low', 'has_comments_T'})",({'exec_inorder_higher'}),0.9808575803981623,1.0308003287578853,2.531051942383236,5,1
15446,"({'has_author_F', 'has_error_F', 'exec_skips_lower', 'num_contrib_lower', 'has_comments_T'})",({'exec_inorder_higher'}),0.9808429118773946,1.0307849133537208,2.5291139240506286,5,1
11672,"({'has_comments_T', 'jupyter_prop_high', 'exec_skips_lower', 'num_commits_lower'})",({'exec_inorder_higher'}),0.9808333333333333,1.0307748470948013,2.52784999905111,4,1
14047,"({'has_author_F', 'jupyter_prop_high', 'exec_skips_lower', 'num_contrib_lower', 'has_comments_T'})",({'exec_inorder_higher'}),0.9806918744971843,1.030626185538096,2.5093299869052945,5,1
11438,"({'has_comments_T', 'jupyter_prop_high', 'exec_skips_lower', 'num_contrib_lower'})",({'exec_inorder_higher'}),0.9806651198762568,1.0305980686405984,2.505857704059372,4,1
15988,"({'num_commits_lower', 'jupyter_prop_high', 'exec_skips_lower', 'num_contrib_lower', 'has_comments_T'})",({'exec_inorder_higher'}),0.9803921568627453,1.0303112070516283,2.4709733740724826,5,1
4740,"({'has_comments_T', 'jupyter_prop_high', 'num_commits_lower'})",({'num_contrib_lower'}),0.9801559177888022,1.0493164521748346,3.321397393527455,3,1
12728,"({'non_exec_prop_low', 'has_comments_T', 'has_error_F', 'exec_skips_lower'})",({'exec_inorder_higher'}),0.980127186009539,1.0300327445632358,2.438027062418162,4,1
15839,"({'has_author_F', 'has_error_F', 'non_exec_prop_low', 'exec_skips_lower', 'has_comments_T'})",({'exec_inorder_higher'}),0.9800664451827243,1.0299689109695511,2.4305979921431824,5,1
6043,"({'exec_inorder_higher', 'has_equation_F', 'longer_ending_F', 'num_commits_lower'})",({'has_author_F'}),0.9800498753117208,1.0280651393494287,2.34106285464864,4,1
11342,"({'exec_inorder_higher', 'has_comments_T', 'jupyter_prop_high', 'num_commits_lower'})",({'num_contrib_lower'}),0.9800148038490007,1.049165381129935,3.297945260843562,4,1
3582,"({'exec_inorder_higher', 'has_links_F', 'exec_skips_lower'})",({'has_author_F'}),0.9796091758708579,1.027602848864531,2.290466317474154,3,1
13618,"({'has_author_F', 'num_commits_lower', 'exec_skips_lower', 'has_comments_T', 'has_equation_F'})",({'exec_inorder_higher'}),0.9795744680851063,1.0294518836619169,2.3720536883456917,5,1
8251,"({'has_author_F', 'has_comments_T', 'jupyter_prop_high', 'num_commits_lower'})",({'num_contrib_lower'}),0.9795321637426903,1.0486486855768709,3.2201783375943465,4,1
13960,"({'has_author_F', 'num_commits_lower', 'exec_inorder_higher', 'jupyter_prop_high', 'has_comments_T'})",({'num_contrib_lower'}),0.9794050343249429,1.0485125858123572,3.2003006935351017,5,1
11381,"({'has_comments_T', 'jupyter_prop_high', 'has_error_F', 'num_commits_lower'})",({'num_contrib_lower'}),0.9792874896437448,1.04838674709057,3.182138804015711,4,1
633,"({'has_links_F', 'exec_skips_lower'})",({'has_author_F'}),0.979253112033195,1.0272293405073487,2.251156700130942,2,1
11014,"({'has_comments_T', 'has_equation_F', 'exec_skips_lower', 'num_commits_lower'})",({'exec_inorder_higher'}),0.9792186201163757,1.0290779168287234,2.3314360541248385,4,1
16259,"({'has_error_F', 'num_contrib_lower', 'exec_skips_lower', 'non_exec_prop_low', 'has_comments_T'})",({'exec_inorder_higher'}),0.9790268456375839,1.0288763776861032,2.310117852466176,5,1
11476,"({'exec_inorder_higher', 'jupyter_prop_high', 'non_exec_prop_low', 'num_commits_lower'})",({'num_contrib_lower'}),0.9789631855747558,1.0480395598840027,3.1330828708611342,4,1
7742,"({'has_author_F', 'has_comments_T', 'has_equation_F', 'exec_skips_lower'})",({'exec_inorder_higher'}),0.9787878787878788,1.0286252432582708,2.284093034856893,4,1
4428,"({'has_comments_T', 'has_equation_F', 'exec_skips_lower'})",({'exec_inorder_higher'}),0.9787234042553192,1.0285574858481359,2.2771715408118833,3,1
11064,"({'has_comments_T', 'has_equation_F', 'has_error_F', 'exec_skips_lower'})",({'exec_inorder_higher'}),0.9787052810902896,1.0285384398980981,2.2752335224792732,4,1
6504,"({'has_author_F', 'has_comments_T', 'longer_ending_F', 'exec_skips_lower'})",({'exec_inorder_higher'}),0.9785301403798515,1.028354381472587,2.256673269986254,4,1
623,"({'has_links_F', 'num_commits_lower'})",({'has_author_F'}),0.9785202863961814,1.0264606117828075,2.174353751394344,2,1
2300,"({'has_comments_T', 'longer_ending_F', 'exec_skips_lower'})",({'exec_inorder_higher'}),0.9784860557768923,1.02830805219489,2.2520490809447478,3,1
1419,"({'has_title_T', 'exec_skips_lower'})",({'exec_inorder_higher'}),0.9784688995215312,1.028290022387077,2.250254619525688,2,1
3306,"({'num_commits_lower', 'has_links_F', 'num_contrib_lower'})",({'has_author_F'}),0.9783152627189323,1.026245543447378,2.153795789544358,3,1
14120,"({'has_author_F', 'num_commits_lower', 'exec_inorder_higher', 'jupyter_prop_high', 'non_exec_prop_low'})",({'num_contrib_lower'}),0.9783113865220758,1.047341769402839,3.0389256095279578,5,1
3741,"({'has_author_F', 'has_title_T', 'exec_skips_lower'})",({'exec_inorder_higher'}),0.9782608695652175,1.0280714000797768,2.228721082496741,3,1
13241,"({'has_author_F', 'exec_skips_lower', 'num_contrib_lower', 'has_comments_T', 'has_equation_F'})",({'exec_inorder_higher'}),0.9781021897810219,1.0279046407285877,2.212570929725016,5,1
10784,"({'has_comments_T', 'has_equation_F', 'exec_skips_lower', 'num_contrib_lower'})",({'exec_inorder_higher'}),0.9780392156862745,1.0278384601547041,2.2062262268504096,4,1
7027,"({'exec_inorder_higher', 'has_equation_F', 'jupyter_prop_high', 'num_commits_lower'})",({'has_author_F'}),0.9778481012658228,1.0257554945054945,2.1083743842364515,4,1
7838,"({'exec_inorder_higher', 'has_equation_F', 'exec_skips_lower', 'num_commits_lower'})",({'has_author_F'}),0.9777448071216617,1.025647139705003,2.0985886803433673,4,1
2663,"({'has_equation_F', 'exec_skips_lower', 'num_commits_lower'})",({'has_author_F'}),0.9776496034607065,1.025547271762124,2.0896495402768136,3,1
11365,"({'has_comments_T', 'jupyter_prop_high', 'exec_skips_lower', 'num_commits_lower'})",({'num_contrib_lower'}),0.9774999999999998,1.0464731308411213,2.929337019254064,4,1
13851,"({'has_author_F', 'num_contrib_lower', 'jupyter_prop_high', 'exec_skips_lower', 'markdown_prop_med'})",({'exec_inorder_higher'}),0.9774812343619683,1.0272520678547108,2.1515592414763116,5,1
11270,"({'markdown_prop_med', 'jupyter_prop_high', 'exec_skips_lower', 'num_contrib_lower'})",({'exec_inorder_higher'}),0.9774011299435028,1.0271678847250298,2.1439327804452213,4,1
11634,"({'jupyter_prop_high', 'has_error_F', 'exec_skips_lower', 'num_contrib_lower'})",({'exec_inorder_higher'}),0.9773790951638064,1.0271447279909545,2.1418443986212785,4,1
14325,"({'has_author_F', 'has_error_F', 'jupyter_prop_high', 'exec_skips_lower', 'num_contrib_lower'})",({'exec_inorder_higher'}),0.9772727272727272,1.0270329441201,2.1318201658664275,5,1
12911,"({'num_commits_lower', 'exec_inorder_higher', 'jupyter_prop_high', 'num_contrib_lower', 'has_equation_F'})",({'has_author_F'}),0.9771986970684041,1.0250742742599421,2.04832574671075,5,1
13691,"({'has_error_F', 'num_commits_lower', 'exec_inorder_higher', 'exec_skips_lower', 'has_equation_F'})",({'has_author_F'}),0.9771380186282812,1.025010623020784,2.0428892445479154,5,1
3583,"({'has_author_F', 'has_links_F', 'exec_skips_lower'})",({'exec_inorder_higher'}),0.9771186440677965,1.0268710153941842,2.1174644745137874,3,1
4793,"({'jupyter_prop_high', 'non_exec_prop_low', 'num_commits_lower'})",({'num_contrib_lower'}),0.9770937723693629,1.046038239485145,2.8773870580532517,3,1
13617,"({'num_commits_lower', 'exec_inorder_higher', 'exec_skips_lower', 'has_comments_T', 'has_equation_F'})",({'has_author_F'}),0.9770797962648557,1.0249495481880881,2.037699856119765,5,1
15987,"({'num_commits_lower', 'exec_inorder_higher', 'jupyter_prop_high', 'exec_skips_lower', 'has_comments_T'})",({'num_contrib_lower'}),0.9770603228547154,1.046002429747735,2.8731913930517265,5,1
1520,"({'has_equation_F', 'longer_ending_F', 'num_commits_lower'})",({'has_author_F'}),0.9770569620253166,1.0249255952380953,2.0356718192627903,3,1
6756,"({'has_comments_T', 'longer_ending_F', 'exec_skips_lower', 'num_contrib_lower'})",({'exec_inorder_higher'}),0.9770408163265306,1.0267892248642576,2.1102866288374824,4,1
13654,"({'num_commits_lower', 'exec_inorder_higher', 'exec_skips_lower', 'non_exec_prop_low', 'has_equation_F'})",({'has_author_F'}),0.9770408163265306,1.0249086585183524,2.034240263834327,5,1
7882,"({'has_equation_F', 'has_error_F', 'exec_skips_lower', 'num_commits_lower'})",({'has_author_F'}),0.976954732510288,1.0248183572257645,2.0266415164931004,4,1
7801,"({'non_exec_prop_low', 'has_equation_F', 'exec_skips_lower', 'num_commits_lower'})",({'has_author_F'}),0.9768976897689768,1.0247585198080247,2.0216374633659604,4,1
530,"({'has_links_F', 'markdown_prop_med'})",({'has_author_F'}),0.9767827529021559,1.0246379518767579,2.011629357111678,2,1
5967,"({'num_commits_lower', 'has_equation_F', 'longer_ending_F', 'num_contrib_lower'})",({'has_author_F'}),0.9767827529021559,1.0246379518767579,2.011629357111678,4,1
4871,"({'jupyter_prop_high', 'exec_skips_lower', 'num_contrib_lower'})",({'exec_inorder_higher'}),0.976775956284153,1.0265108788288966,2.086219734511007,3,1
1341,"({'has_links_F', 'exec_skips_lower'})",({'exec_inorder_higher'}),0.9767634854771784,1.026497773040466,2.085100081062542,2,1
7671,"({'has_comments_T', 'has_equation_F', 'exec_skips_lower', 'num_commits_lower'})",({'has_author_F'}),0.976724854530341,1.0245772169088878,2.0066253039845483,4,1
2399,"({'has_equation_F', 'jupyter_prop_high', 'num_commits_lower'})",({'has_author_F'}),0.9766566265060243,1.0245056462112185,2.0007603384914443,3,1
13389,"({'num_commits_lower', 'exec_inorder_higher', 'exec_skips_lower', 'num_contrib_lower', 'has_equation_F'})",({'has_author_F'}),0.9766536964980544,1.0245025726543235,2.000509239051357,5,1
8511,"({'has_author_F', 'jupyter_prop_high', 'exec_skips_lower', 'num_contrib_lower'})",({'exec_inorder_higher'}),0.9765791341376863,1.02630403500433,2.0686877504860908,4,1
7466,"({'num_commits_lower', 'has_equation_F', 'exec_skips_lower', 'num_contrib_lower'})",({'has_author_F'}),0.9765329295987889,1.0243758890617332,1.9902141620084282,4,1
1312,"({'exec_skips_lower', 'num_contrib_lower'})",({'exec_inorder_higher'}),0.976457399103139,1.0261761015345374,2.0579908960528788,2,1
5755,"({'has_error_F', 'exec_skips_lower', 'num_contrib_lower'})",({'exec_inorder_higher'}),0.9764030612244898,1.026118996910691,2.053251855085121,3,1
1480,"({'has_error_F', 'exec_skips_lower'})",({'exec_inorder_higher'}),0.9763872491145218,1.0261023796887017,2.0518769096464404,2,1
8356,"({'has_author_F', 'jupyter_prop_high', 'non_exec_prop_low', 'num_commits_lower'})",({'num_contrib_lower'}),0.9763837638376383,1.0452781322205744,2.790880074203392,4,1
11209,"({'non_exec_prop_low', 'jupyter_prop_high', 'markdown_prop_med', 'num_commits_lower'})",({'num_contrib_lower'}),0.9763513513513513,1.0452434326850215,2.7870549354617427,4,1
5076,"({'jupyter_prop_high', 'has_error_F', 'exec_skips_lower'})",({'exec_inorder_higher'}),0.9762787249814678,1.02598832978557,2.042489633347892,3,1
8214,"({'has_author_F', 'markdown_prop_med', 'jupyter_prop_high', 'exec_skips_lower'})",({'exec_inorder_higher'}),0.9762282091917591,1.0259352418616148,2.0381492797904874,4,1
7009,"({'has_equation_F', 'jupyter_prop_high', 'non_exec_prop_low', 'num_commits_lower'})",({'has_author_F'}),0.9762107051826677,1.0240378780098405,1.9632568435492854,4,1
4712,"({'jupyter_prop_high', 'markdown_prop_med', 'exec_skips_lower'})",({'exec_inorder_higher'}),0.9761904761904762,1.0258955875928353,2.034919249236141,3,1
8862,"({'has_author_F', 'jupyter_prop_high', 'has_error_F', 'exec_skips_lower'})",({'exec_inorder_higher'}),0.9761354888375673,1.0258378004251683,2.0302304952056396,4,1
14166,"({'has_author_F', 'num_commits_lower', 'jupyter_prop_high', 'exec_skips_lower', 'num_contrib_lower'})",({'exec_inorder_higher'}),0.9761171032357474,1.0258184786757327,2.0286675771954883,5,1
168,({'exec_skips_lower'}),({'exec_inorder_higher'}),0.9761038961038961,1.0258045990706541,2.027546353405581,1,1
11534,"({'num_commits_lower', 'jupyter_prop_high', 'exec_skips_lower', 'num_contrib_lower'})",({'exec_inorder_higher'}),0.9760119940029985,1.0257080175508577,2.0197784810126636,4,1
3522,"({'has_author_F', 'exec_skips_lower', 'num_contrib_lower'})",({'exec_inorder_higher'}),0.9760093622001169,1.0257052517433338,2.0195569087947463,3,1
10102,"({'has_author_F', 'has_error_F', 'exec_skips_lower', 'num_contrib_lower'})",({'exec_inorder_higher'}),0.976,1.0256954128440368,2.018769096464426,4,1
3877,"({'has_author_F', 'has_error_F', 'exec_skips_lower'})",({'exec_inorder_higher'}),0.9759852216748769,1.025679882044561,2.0175267770204535,3,1
11228,"({'exec_inorder_higher', 'jupyter_prop_high', 'markdown_prop_med', 'num_commits_lower'})",({'num_contrib_lower'}),0.9759689922480619,1.044834094037528,2.7427099027048207,4,1
6893,"({'num_commits_lower', 'has_equation_F', 'jupyter_prop_high', 'num_contrib_lower'})",({'has_author_F'}),0.9759316770186337,1.0237451795099313,1.9404964728742327,4,1
1063,"({'jupyter_prop_high', 'exec_skips_lower'})",({'exec_inorder_higher'}),0.9759271307742355,1.0256188333044833,2.0126582278481044,2,1
12617,"({'num_commits_lower', 'has_error_F', 'exec_skips_lower', 'num_contrib_lower'})",({'exec_inorder_higher'}),0.9758865248226949,1.025576159802199,2.009269006598701,4,1
1550,"({'has_equation_F', 'longer_ending_F', 'exec_skips_lower'})",({'has_author_F'}),0.975873544093178,1.0236841984970104,1.9358208281280493,3,1
15626,"({'has_author_F', 'has_error_F', 'num_commits_lower', 'exec_skips_lower', 'num_contrib_lower'})",({'exec_inorder_higher'}),0.9757531227038941,1.0254359651901934,1.9982143565731492,5,1
3026,"({'has_author_F', 'jupyter_prop_high', 'exec_skips_lower'})",({'exec_inorder_higher'}),0.9757085020242914,1.0253890725402073,1.9945438673068452,3,1
733,"({'has_author_F', 'exec_skips_lower'})",({'exec_inorder_higher'}),0.9756493506493507,1.025326909329203,1.9896988214753406,2,1
5676,"({'num_commits_lower', 'exec_skips_lower', 'num_contrib_lower'})",({'exec_inorder_higher'}),0.9756402248594629,1.0253173188775364,1.9889534298089577,3,1
5221,"({'exec_skips_lower', 'markdown_prop_med', 'num_contrib_lower'})",({'exec_inorder_higher'}),0.975593220338983,1.0252679210076194,1.9851229448566827,3,1
11595,"({'non_exec_prop_low', 'jupyter_prop_high', 'exec_skips_lower', 'num_contrib_lower'})",({'exec_inorder_higher'}),0.9755905511811023,1.025265115943076,1.9849058729108238,4,1
3575,"({'exec_inorder_higher', 'has_links_F', 'non_exec_prop_low'})",({'has_author_F'}),0.9755899104963385,1.0233866689318276,1.9133275134584589,3,1
14253,"({'has_author_F', 'num_contrib_lower', 'jupyter_prop_high', 'exec_skips_lower', 'non_exec_prop_low'})",({'exec_inorder_higher'}),0.9755102040816327,1.0251806777756975,1.9783937145351427,5,1
9947,"({'has_author_F', 'num_contrib_lower', 'exec_skips_lower', 'num_commits_lower'})",({'exec_inorder_higher'}),0.9754680438992899,1.0251363709051713,1.9749936823726737,4,1
11498,"({'non_exec_prop_low', 'jupyter_prop_high', 'exec_skips_lower', 'num_commits_lower'})",({'num_contrib_lower'}),0.9754653130287647,1.0442948748359346,2.686404069898696,4,1
710,"({'exec_inorder_higher', 'md_format_F'})",({'has_author_F'}),0.9753820033955858,1.023168575906267,1.8971688315597794,2,1
9146,"({'has_author_F', 'exec_skips_lower', 'markdown_prop_med', 'num_contrib_lower'})",({'exec_inorder_higher'}),0.9753694581280788,1.025032765399738,1.967088607594941,4,1
11514,"({'non_exec_prop_low', 'jupyter_prop_high', 'has_error_F', 'num_commits_lower'})",({'num_contrib_lower'}),0.9753086419753086,1.0441271489558095,2.669358358795288,4,1
13768,"({'has_author_F', 'num_commits_lower', 'exec_inorder_higher', 'jupyter_prop_high', 'markdown_prop_med'})",({'num_contrib_lower'}),0.9752,1.0440108411214952,2.657664634403906,5,1
12011,"({'num_commits_lower', 'exec_skips_lower', 'markdown_prop_med', 'num_contrib_lower'})",({'exec_inorder_higher'}),0.9751506024096387,1.024802766110313,1.949763898258018,4,1
11757,"({'jupyter_prop_high', 'has_error_F', 'exec_skips_lower', 'num_commits_lower'})",({'exec_inorder_higher'}),0.9751449875724938,1.024796865380084,1.9493234395460521,4,1
14685,"({'has_author_F', 'num_commits_lower', 'num_contrib_lower', 'exec_skips_lower', 'markdown_prop_med'})",({'exec_inorder_higher'}),0.9751359751359752,1.024787394053449,1.9486168703622913,5,1
6682,"({'exec_inorder_higher', 'longer_ending_F', 'jupyter_prop_high', 'num_commits_lower'})",({'num_contrib_lower'}),0.975103734439834,1.0439077829914298,2.64738833115088,4,1
1444,"({'exec_skips_lower', 'num_commits_lower'})",({'exec_inorder_higher'}),0.9749999999999999,1.024644495412844,1.9380183326058404,2,1
629,"({'exec_inorder_higher', 'has_links_F'})",({'has_author_F'}),0.9749999999999999,1.022767857142857,1.8681798341335554,2,1
5922,"({'has_error_F', 'exec_skips_lower', 'num_commits_lower'})",({'exec_inorder_higher'}),0.9749830966869507,1.0246267314265156,1.9367088607595009,3,1
7064,"({'exec_inorder_higher', 'has_equation_F', 'jupyter_prop_high', 'exec_skips_lower'})",({'has_author_F'}),0.9748987854251011,1.0226616837952869,1.8606468509314062,4,1
1189,"({'markdown_prop_med', 'exec_skips_lower'})",({'exec_inorder_higher'}),0.9748901443816698,1.0245290462286265,1.9295395024006972,2,1
5717,"({'non_exec_prop_low', 'exec_skips_lower', 'num_contrib_lower'})",({'exec_inorder_higher'}),0.9748711340206184,1.0245090679088242,1.928079777054016,3,1
10428,"({'has_author_F', 'has_error_F', 'exec_skips_lower', 'num_commits_lower'})",({'exec_inorder_higher'}),0.9748251748251747,1.0244607685892089,1.9245598719627468,4,1
2431,"({'has_equation_F', 'jupyter_prop_high', 'exec_skips_lower'})",({'has_author_F'}),0.974822974036192,1.022582158203716,1.8550441946748157,3,1
3796,"({'has_author_F', 'exec_skips_lower', 'num_commits_lower'})",({'exec_inorder_higher'}),0.9748157248157249,1.0244508374095531,1.9238377106599587,3,1
6556,"({'exec_inorder_higher', 'longer_ending_F', 'exec_skips_lower', 'num_commits_lower'})",({'has_author_F'}),0.9746938775510203,1.0224467369365327,1.8455808845271051,4,1
1817,"({'longer_ending_F', 'exec_skips_lower', 'num_commits_lower'})",({'has_author_F'}),0.9746434231378764,1.0223938106267743,1.8419085552160661,3,1
3272,"({'has_author_F', 'markdown_prop_med', 'exec_skips_lower'})",({'exec_inorder_higher'}),0.9746423927178154,1.0242686796864748,1.9106873048383357,3,1
8765,"({'has_author_F', 'jupyter_prop_high', 'exec_skips_lower', 'num_commits_lower'})",({'exec_inorder_higher'}),0.9745889387144994,1.024212503942623,1.9066680360489998,4,1
1462,"({'non_exec_prop_low', 'exec_skips_lower'})",({'exec_inorder_higher'}),0.9745762711864407,1.024199191416576,1.9057180270624252,2,1
1492,"({'has_equation_F', 'longer_ending_F', 'markdown_prop_med'})",({'has_author_F'}),0.9745762711864406,1.0223233687216737,1.8370435035646695,3,1
3313,"({'has_links_F', 'non_exec_prop_low', 'num_contrib_lower'})",({'has_author_F'}),0.9745693191140278,1.0223160760486436,1.836541304684521,3,1
5018,"({'jupyter_prop_high', 'exec_skips_lower', 'num_commits_lower'})",({'exec_inorder_higher'}),0.9745269286754003,1.0241473365116247,1.9020265635717393,3,1
