,support,itemsets,length
1064,0.5080750763858577,"({'has_equation_F', 'has_error_F', 'num_contrib_lower', 'exec_inorder_higher', 'markdown_prop_med'})",5
1067,0.5045831514622435,"({'has_equation_F', 'has_comments_T', 'num_commits_lower', 'num_contrib_lower', 'exec_skips_lower'})",5
1068,0.5085115670013095,"({'has_equation_F', 'has_error_F', 'has_comments_T', 'num_commits_lower', 'num_contrib_lower'})",5
1070,0.5041466608467918,"({'has_equation_F', 'has_error_F', 'has_comments_T', 'num_contrib_lower', 'non_exec_prop_low'})",5
1074,0.5063291139240507,"({'has_equation_F', 'num_commits_lower', 'non_exec_prop_low', 'num_contrib_lower', 'exec_skips_lower'})",5
1078,0.5050196420776953,"({'has_equation_F', 'has_error_F', 'num_commits_lower', 'num_contrib_lower', 'exec_skips_lower'})",5
1084,0.505456132693147,"({'has_equation_F', 'has_error_F', 'has_comments_T', 'num_commits_lower', 'exec_inorder_higher'})",5
1085,0.5050196420776953,"({'has_equation_F', 'has_error_F', 'has_comments_T', 'exec_inorder_higher', 'non_exec_prop_low'})",5
1086,0.5015277171540812,"({'has_equation_F', 'has_error_F', 'has_comments_T', 'exec_inorder_higher', 'exec_skips_lower'})",5
1088,0.5159319074639895,"({'has_equation_F', 'has_error_F', 'num_commits_lower', 'exec_inorder_higher', 'non_exec_prop_low'})",5
1090,0.5010912265386294,"({'has_equation_F', 'has_error_F', 'non_exec_prop_low', 'exec_inorder_higher', 'exec_skips_lower'})",5
1091,0.5163683980794412,"({'jupyter_prop_high', 'has_comments_T', 'num_commits_lower', 'num_contrib_lower', 'markdown_prop_med'})",5
1092,0.5072020951549542,"({'jupyter_prop_high', 'has_comments_T', 'num_contrib_lower', 'markdown_prop_med', 'non_exec_prop_low'})",5
1094,0.5045831514622435,"({'jupyter_prop_high', 'num_commits_lower', 'num_contrib_lower', 'markdown_prop_med', 'non_exec_prop_low'})",5
1099,0.505456132693147,"({'jupyter_prop_high', 'has_comments_T', 'num_commits_lower', 'markdown_prop_med', 'exec_inorder_higher'})",5
1102,0.5120034919249236,"({'jupyter_prop_high', 'has_comments_T', 'num_commits_lower', 'num_contrib_lower', 'exec_skips_lower'})",5
1103,0.5159319074639895,"({'jupyter_prop_high', 'has_error_F', 'has_comments_T', 'num_commits_lower', 'num_contrib_lower'})",5
1105,0.5067656045395024,"({'jupyter_prop_high', 'has_error_F', 'has_comments_T', 'num_contrib_lower', 'non_exec_prop_low'})",5
1109,0.5032736796158882,"({'jupyter_prop_high', 'num_commits_lower', 'non_exec_prop_low', 'num_contrib_lower', 'exec_skips_lower'})",5
1110,0.5172413793103449,"({'jupyter_prop_high', 'has_error_F', 'num_commits_lower', 'num_contrib_lower', 'non_exec_prop_low'})",5
1113,0.5106940200785683,"({'jupyter_prop_high', 'has_error_F', 'num_commits_lower', 'num_contrib_lower', 'exec_skips_lower'})",5
1117,0.515058926233086,"({'jupyter_prop_high', 'has_comments_T', 'num_commits_lower', 'exec_inorder_higher', 'non_exec_prop_low'})",5
1119,0.5067656045395024,"({'jupyter_prop_high', 'has_error_F', 'has_comments_T', 'num_commits_lower', 'exec_inorder_higher'})",5
1120,0.5010912265386294,"({'jupyter_prop_high', 'has_error_F', 'has_comments_T', 'exec_inorder_higher', 'exec_skips_lower'})",5
1121,0.501964207769533,"({'jupyter_prop_high', 'num_commits_lower', 'non_exec_prop_low', 'exec_inorder_higher', 'exec_skips_lower'})",5
1122,0.5072020951549542,"({'jupyter_prop_high', 'has_error_F', 'num_commits_lower', 'exec_inorder_higher', 'non_exec_prop_low'})",5
1123,0.5137494543867307,"({'jupyter_prop_high', 'has_error_F', 'num_commits_lower', 'exec_inorder_higher', 'exec_skips_lower'})",5
1127,0.5216062854648625,"({'has_error_F', 'has_comments_T', 'num_commits_lower', 'num_contrib_lower', 'markdown_prop_med'})",5
1129,0.5028371890004365,"({'has_comments_T', 'num_contrib_lower', 'non_exec_prop_low', 'markdown_prop_med', 'exec_skips_lower'})",5
1130,0.5237887385421214,"({'has_error_F', 'has_comments_T', 'num_contrib_lower', 'markdown_prop_med', 'non_exec_prop_low'})",5
1134,0.5063291139240507,"({'num_commits_lower', 'num_contrib_lower', 'non_exec_prop_low', 'markdown_prop_med', 'exec_skips_lower'})",5
1135,0.5220427760803142,"({'has_error_F', 'num_commits_lower', 'num_contrib_lower', 'markdown_prop_med', 'non_exec_prop_low'})",5
1138,0.5080750763858577,"({'has_error_F', 'num_commits_lower', 'num_contrib_lower', 'markdown_prop_med', 'exec_skips_lower'})",5
1144,0.5198603230030554,"({'has_error_F', 'has_comments_T', 'num_commits_lower', 'markdown_prop_med', 'exec_inorder_higher'})",5
1148,0.5146224356176342,"({'num_commits_lower', 'non_exec_prop_low', 'exec_inorder_higher', 'markdown_prop_med', 'exec_skips_lower'})",5
1149,0.5185508511567001,"({'has_error_F', 'num_commits_lower', 'markdown_prop_med', 'exec_inorder_higher', 'non_exec_prop_low'})",5
1151,0.5141859450021824,"({'has_error_F', 'non_exec_prop_low', 'exec_inorder_higher', 'markdown_prop_med', 'exec_skips_lower'})",5
1160,0.5202968136185072,"({'has_error_F', 'has_comments_T', 'non_exec_prop_low', 'num_contrib_lower', 'exec_skips_lower'})",5
1168,0.5495416848537756,"({'has_error_F', 'has_comments_T', 'num_commits_lower', 'exec_inorder_higher', 'non_exec_prop_low'})",5
1169,0.5443037974683544,"({'has_error_F', 'has_comments_T', 'num_commits_lower', 'exec_inorder_higher', 'exec_skips_lower'})",5
1170,0.5381929288520296,"({'has_error_F', 'has_comments_T', 'non_exec_prop_low', 'exec_inorder_higher', 'exec_skips_lower'})",5
1171,0.5443037974683544,"({'has_error_F', 'num_commits_lower', 'non_exec_prop_low', 'exec_inorder_higher', 'exec_skips_lower'})",5
1172,0.5141859450021824,"({'has_comments_T', 'has_author_F', 'num_commits_lower', 'num_contrib_lower', 'exec_inorder_higher', 'longer_ending_F'})",6
1173,0.5072020951549542,"({'has_comments_T', 'has_author_F', 'num_contrib_lower', 'exec_inorder_higher', 'longer_ending_F', 'non_exec_prop_low'})",6
1174,0.5128764731558272,"({'has_author_F', 'num_commits_lower', 'num_contrib_lower', 'exec_inorder_higher', 'longer_ending_F', 'non_exec_prop_low'})",6
1175,0.5045831514622435,"({'has_equation_F', 'jupyter_prop_high', 'has_comments_T', 'has_author_F', 'num_contrib_lower', 'exec_inorder_higher'})",6
1176,0.5237887385421214,"({'has_equation_F', 'jupyter_prop_high', 'has_author_F', 'num_commits_lower', 'num_contrib_lower', 'exec_inorder_higher'})",6
1177,0.50371017023134,"({'has_equation_F', 'jupyter_prop_high', 'has_author_F', 'num_contrib_lower', 'exec_inorder_higher', 'non_exec_prop_low'})",6
1178,0.5137494543867307,"({'has_equation_F', 'has_comments_T', 'has_author_F', 'num_contrib_lower', 'exec_inorder_higher', 'markdown_prop_med'})",6
1179,0.5133129637712789,"({'has_equation_F', 'has_author_F', 'num_commits_lower', 'num_contrib_lower', 'exec_inorder_higher', 'markdown_prop_med'})",6
1180,0.5028371890004365,"({'has_equation_F', 'has_author_F', 'num_contrib_lower', 'exec_inorder_higher', 'markdown_prop_med', 'non_exec_prop_low'})",6
1181,0.5015277171540812,"({'has_equation_F', 'has_author_F', 'num_contrib_lower', 'exec_inorder_higher', 'markdown_prop_med', 'exec_skips_lower'})",6
1182,0.5124399825403754,"({'has_equation_F', 'has_comments_T', 'has_author_F', 'num_commits_lower', 'num_contrib_lower', 'non_exec_prop_low'})",6
1183,0.5530336097773898,"({'has_equation_F', 'has_comments_T', 'has_author_F', 'num_commits_lower', 'num_contrib_lower', 'exec_inorder_higher'})",6
1184,0.5412483631601921,"({'has_equation_F', 'has_comments_T', 'has_author_F', 'num_contrib_lower', 'exec_inorder_higher', 'non_exec_prop_low'})",6
1185,0.5264076822348319,"({'has_equation_F', 'has_comments_T', 'has_author_F', 'num_contrib_lower', 'exec_inorder_higher', 'exec_skips_lower'})",6
1186,0.5194238323876037,"({'has_equation_F', 'has_error_F', 'has_comments_T', 'has_author_F', 'num_contrib_lower', 'exec_inorder_higher'})",6
1187,0.5539065910082933,"({'has_equation_F', 'has_author_F', 'num_commits_lower', 'num_contrib_lower', 'exec_inorder_higher', 'non_exec_prop_low'})",6
1188,0.5002182453077259,"({'has_equation_F', 'has_error_F', 'has_author_F', 'num_commits_lower', 'num_contrib_lower', 'non_exec_prop_low'})",6
1189,0.5477957223919686,"({'has_equation_F', 'has_author_F', 'num_commits_lower', 'num_contrib_lower', 'exec_inorder_higher', 'exec_skips_lower'})",6
1190,0.5390659100829333,"({'has_equation_F', 'has_error_F', 'has_author_F', 'num_commits_lower', 'num_contrib_lower', 'exec_inorder_higher'})",6
1191,0.5233522479266696,"({'has_equation_F', 'has_author_F', 'num_contrib_lower', 'exec_inorder_higher', 'exec_skips_lower', 'non_exec_prop_low'})",6
1192,0.5255347010039284,"({'has_equation_F', 'has_error_F', 'has_author_F', 'num_contrib_lower', 'exec_inorder_higher', 'non_exec_prop_low'})",6
1193,0.5211697948494107,"({'has_equation_F', 'has_error_F', 'has_author_F', 'num_contrib_lower', 'exec_inorder_higher', 'exec_skips_lower'})",6
